case,compute_nodes,tensors,edges,components,pipe_m_cycles,pipe_v_cycles,critical_path_cycles,original_boundary_bytes,io_compute_ratio,sha256
case_031,6135,7365,7166,107,1334492,221025,13057,2185040,0.027289285610804213,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82
case_032,827,1186,870,25,10150,33995,1146,293088,0.14369171937049566,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385
case_033,3465,4572,3437,95,1728108,192042,6300,2972910,0.028672108456184453,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b
case_034,3745,5144,3691,155,749160,194956,3677,2280386,0.050732064356523755,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6
case_035,3857,4538,5067,16,62192,143909,17200,410854,0.04758261586604498,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2
case_036,2400,4802,1600,800,931200,121600,1316,6554752,0.11731729667812142,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21
case_037,780,1160,760,20,209600,28880,904,614400,0.04885496183206107,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3
case_038,5907,7649,5855,130,1325000,167776,8754,2802950,0.035257232704402515,69575019d0670552c74f386508042357a94419ed2f49d18a382a71a8cf39e5ac
case_039,5250,6612,5180,70,1377880,98420,784,4489216,0.0543010034739358,8e999d9db7fe3b1060baef4bff52304267c4034700290fe0a7520f777cbc78ed
case_040,3083,3647,4149,28,111972,185751,16120,911238,0.08176160559027945,7d595de282221534f949ab7ffae0ff026d5c7652b9110c18c0031aa78400cc57
case_041,16594,19210,16140,494,5895240,607750,1767,4949980,0.013994284654512228,97d875b7e79ef0257342689d0c348f86ab591d74dfa9a9c28a72f47abb531491
case_042,4733,5853,4687,104,1599076,226026,5685,2388964,0.024899421082341718,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5
case_043,9309,10140,13402,38,517752,343841,27474,1431122,0.04606845233496603,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c
case_044,1364,1497,1617,11,74404,9988,7672,975456,0.21850438148486642,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e
case_045,1651,1855,1900,68,0,125476,1824,557056,0.07399237038690001,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793
case_046,992,1116,1176,8,209248,18400,28456,1061472,0.0845465667533262,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659
case_047,13710,14259,20909,1,153760,259370,19990,463942,0.029812108827800696,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f
case_048,1728,2069,2448,1,139536,120060,75960,414790,0.04954396475939304,9932aaca8ab23d020c5f5102fa3d436dd3cdf3ca8d1ee458d4c235c556c11764
case_049,4303,4609,6323,11,95464,165715,8921,152540,0.015341600539078137,444854fe118a208ddfa10fa0ddd48d7b5e6cfd3780a8049f2145fc1a9b674a08
case_050,4555,4969,6605,23,51968,133411,6829,319376,0.03989875897289829,3b6b1abd65fbfbb2a40972bdbd643c43107c4b232512741740ff351c366367aa
case_051,1416,1441,1668,1,0,607080,51552,393218,0.01079533724275768,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b
case_052,1008,1606,1034,52,141528,62595,3665,810204,0.09541150867672828,6196e8c72258ff26d0ab4dcee50c4f5b39f78142729a2223cfcbd4a9181ab7d0
case_053,11670,12377,17160,39,1212726,344076,56912,2995288,0.0411646708874607,f3593af4c9aa960385c5fdfaf8ad98c396f05746d9e1fe6cc731adeae7019dbc
case_054,15751,16484,23976,24,574216,440672,20291,1606276,0.04662229312082329,4c874b67351e0a6d336af3117c1289099c54993581f90de11e8f49fb33bb9828
case_055,1236,1641,1288,24,61796,69049,6962,625810,0.15105456511559423,1121ee10f030be119d0930fe518d63aedd8cf65167627c7f66f1a7ffffd9d134
case_056,7678,8157,11483,19,131016,245953,13737,221600,0.015016419126147408,fda213426382a3810afd172eadc10b9221330b906888537cb13b16369be3369d
case_057,865,1180,904,21,14062,47565,8189,342460,0.11999719681838887,89778038db7db919a13c5885aa555c8ae054a3f43845c73fe346b6123d12a525
case_058,16575,18942,16320,255,4358970,310080,746,7667712,0.029317751670692848,95027788c05772259091802889106c7104efdecdaaabd002ed11a87f8f2f209d
case_059,2752,3520,2688,64,737792,102144,2120,1343488,0.030349294471431875,50b062952359dc9aa22880856093e8ec7a69c66d358607de49fd5f559ac232e9
case_060,5281,6752,5384,89,720232,273539,4252,2099006,0.04857245072883923,29889cfaea8c831c2620d19191abf871694e61d4850ced26a9710847096c1e96
case_061,1115,1709,1122,40,71456,27572,11506,544188,0.12692845947156292,5da175170152a6beab3dcbda84a0910f72b079091c2ad1fdd489aaf5e31fcaf3
case_062,19636,28361,19635,1,2618400,392688,3120,13401600,0.08530400244424076,fa99943eab55b174047687337a4bcd81c3967e052e22eaabf3fb7740914df2b4
case_063,7360,10629,7359,1,981600,147168,3048,5021184,0.08525509372453137,511c05c1ec9c19bb3cc108e173a46e7952b92fca9b1ac21728c43713056d429d
case_064,906,1034,1308,1,7308,15744,3528,37414,0.03960662262872629,871f65b73fc1da6a48501998fbfde6684fc78e5dd022ddc68085d1384d2e2280
case_065,704,1067,741,42,28260,29518,1265,316202,0.17853626036090975,23342b7c3e75f58cec3d0bdaff89bf8d6f18de4930d35ec2ceade91670f0a400
case_066,5962,6362,8887,28,269694,170683,32240,1107034,0.06841296679446582,30e61f8760d7d595b0fc4ad76262b179c72509a0cb5b2be72333ebd9b926b465
case_067,8804,9117,10437,71,58915232,2360608,863040,6048128,0.001710968961869374,f49b5087689e18c6bf231843f8f3bbaca238a547ea5309b2492c76d5f170b542
case_068,5351,6260,7491,32,249101,154696,48319,2771250,0.1854167586641563,dfd9a58ef9d26a8a4567026b50af8b4499d87eebb3d98f8208b909b11e963c6d
case_069,1032,1110,1548,1,16674,15288,2298,126054,0.12599856063332135,9632392d98cfc04291ba0546accf1f4c3ede8ff71befd3cd0ae67caf27659e52
case_070,1191,1630,1237,38,91832,47214,4054,419964,0.07621961843366147,b645c07133b0d98a63ab192cdfe8b35bdc089ad49eb5a8f1e476196344b97aa0
case_071,741,816,1100,1,12534,10954,2298,121446,0.16148875059837242,437cc74cae9e0fc0cb89b05403c62062ceff8d5bc2224c8834c519e69524e897
case_072,29666,32624,32401,476,22928094,1708199,31968,11103184,0.008071018317818597,09ecc7be74ccdd06b00843fa6cd0696fb76ed623ca2ea3c9f36590450bc2749f
case_073,4836,5053,5733,39,8160672,428064,220224,4041088,0.008253176535788555,aabaff04d990bac77150639be7f410acc46db644d19fd046367dc70725aea7f9
case_074,3609,4833,3597,73,1579424,198420,3091,3776728,0.039853431799609644,a8a94915cbac32e098d7c54cfc73af8ea2050eb51199b949a92cfe18ae62162e
case_075,7410,7953,11135,1,1107520,644660,182300,1837190,0.027647205769045554,5c24beddea6d09e1df3c8f8843d3593b90affb117ba38450fa9bea8a8db3351c
case_076,32528,36815,31730,809,6061644,947248,2774,4270674,0.01174234250642235,543a082b17fe8de0dbab92b19f27335e4c8d1db389f75251378f1f4704368307
case_077,4486,5208,6316,41,415406,136672,15619,2141360,0.08591434243446974,b14c3c29f9427de1db1d12c6ebf5d15914a99299298d20a908d97285947e67b6
case_078,1024,1156,1208,8,2037888,103296,246816,2345088,0.019179071666352618,d30ea13a65ed4d85fd62753d3e300a04c17fdbe592b6ca19c52a3a744e4affdd
case_079,18720,21252,18432,288,29424384,3760128,5952,9351168,0.005296722609384108,ee341b011b5ff7f1c975fd6ba8f876217612ecd8d9e4e2127e617cecac1edad5
case_080,1098,1674,1080,18,289044,20520,746,1978368,0.11407536568826893,20b2fa1e14bf879ac7c5b0321f69731c8a8102bb65bbd96d7543f54f4974f98c
case_081,3485,5185,3740,85,0,151725,407,1741140,0.19126050420168067,7c642799a54f8083f56c74d1e260ec010e3a83c37702770c862d722408c7a41e
case_082,4113,4298,6258,1,567936,359766,54690,592006,0.01737302559912854,f230fbc200ad75797f3024f84431d1d26f7747d6a284378ee83eabde77b7e70c
case_083,3844,4037,4557,31,810836,71300,28456,1438304,0.029564219316031027,26bebaecfa0ed9c4bcf57127779a198c367a5576eb7b40b9c56cc343621c5549
case_084,8616,18309,9693,1077,1266552,1240704,2328,13236330,0.1741780045351474,1af22ac8dd69090ed25be62ae1bbb18a922ce99a8cffb2be4f89e7a1234794ee
case_085,19737,20240,30348,1,2565216,1724706,165564,1689734,0.010978503694555676,b63169e9cd0f21dc2da6617e7138472e95937465c703b7e4bf4dbc80125ed4f6
case_086,5274,5462,8064,1,79182,78060,6894,338022,0.07114874592710464,ef91fda2692fd0add63db3c7f677e4e03c8d115d97db3cb959cffc62fff2434a
case_087,27556,29569,38493,196,3593280,882784,82063,5919098,0.02745447984385668,a234839f266f63270c7d42c558eabd68085d415029ce73bfac9d3fc47d58de83
case_088,3309,3811,4731,31,173608,99744,32229,1829798,0.17566375589450564,2ff71575ba33875431f54823fc1f2214e018edcfc9d568edfb7c47b0f264b825
case_089,5120,5348,6040,40,589120,109760,16272,566400,0.016023900054318304,9561e0638071147e99d937b802f61f8a67fe2b96985159c174b47a777fd6ce84
case_090,1664,1811,1963,13,840528,59280,63936,2228352,0.04418555955304285,a91d3ad4c40e53d5731b81b3eb72bcf922f5ef06094e860b5c5729619cb2d312
case_091,31554,34927,31173,513,8981360,931710,56912,6577656,0.012206124684902956,6fa7e61f09003382ba36061d74d4be90ed3acbe750a3d46c3b6d1e1fc27579f3
case_092,17608,18134,20874,142,3714152,326600,28456,3256928,0.014614946650899945,ddb267b7178d1b240f76fb7ed508799fbc7621b45156064b2a229c5c0d90996d
case_093,552,1181,483,69,73968,12144,400,714752,0.16104982334703294,3a68ca960cc21b10a94b0524f5c16d2ee4995f2e5a75e667d58099571a7cdc36
case_094,647,895,680,40,70944,36616,2484,526692,0.12373421290031575,06e7b0eb1eecb9a98b6691dfe5f8039c6f7b21ab0f3ea8e6a072ade002a68fec
case_095,3696,7854,4158,462,1069992,1014552,4512,11355036,0.17687104202648243,99875b1d3025c71f87e04818e28c08915928813f495d080ae6436879f6cb540f
case_096,1198,1476,1276,50,40144,53130,9417,219558,0.06887445887445888,c26df1f4c6e282279a2f86c24d13be04e5c0e8b24b36149899bf7e7a91cf579a
case_097,6592,8320,6528,64,10303488,1331712,23904,5046272,0.00816272444179421,7dc5c8ebf92052dbdd1bf59794a8fcef74e3ab3c59d5f0b4e753bf38a741ffaf
case_098,1365,1700,1514,27,17296,162701,6783,697994,0.07150068735492304,8cc92ed83866234532487abacb106e0298a00cf309ef75fa12e413bfb17d58f8
case_099,6296,7610,6106,202,1595484,144720,2826,2534036,0.026470922512123803,6a07bc2eba4657ec873f015cb53404696202df8fe912a94340cbdc674cbd7938
case_100,1394,1825,1505,43,62556,102007,4830,454598,0.07427562160766744,bb78167d482a9e1663bb947945def049c2d66392c3897613ce5cb145d3a2eb19
